Field East,29.889743413,-98.818079869,448.4909
Field North,29.890733966,-98.81900842,453.345
Field North East,29.890722343,-98.818288765,452.2638
Field North West,29.890751261,-98.81967861,455.3277
Field South East,29.888125455,-98.81815279,444.821
Field South West,29.888343987,-98.81991367,451.9958
Field West,29.889322478,-98.819829697,454.4809
Runway North East,29.889144686,-98.818832612,450.5264
Runway South West,29.888649476,-98.819604324,452.0453
Fence Post,29.888194036,-98.819698214,452.0997
